identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
Pasal 8 ayat (3),8.0,3.0,,ayat,"Dalam hal pelaporan hasil pelaksanaan rapat anggota tidak ciapat dilakukan melalui sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21, hasil pelaksanaan rapat anggota disampaikan secara manual.","Pasal 8 ayat (3) berbunyi: Dalam hal pelaporan hasil pelaksanaan rapat anggota tidak ciapat dilakukan melalui sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21, hasil pelaksanaan rapat anggota disampaikan secara manual.",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 8 ayat (4),8.0,4.0,,ayat,kemudahan pelaporan hasil pelaksanaan rapat anggota sebagaimana dimaksud pada ayat (2). Paragraf 3 Pelaporan,Pasal 8 ayat (4) berbunyi: kemudahan pelaporan hasil pelaksanaan rapat anggota sebagaimana dimaksud pada ayat (2). Paragraf 3 Pelaporan,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,Koperasi yang melaksanakan kegiatan usaha simpan pinjam serta usaha simpan pinjam dan pembiayaan syariah vrajib menyampaikan laporan kepada sewaktu-waktu.,Pasal 9 ayat (1) berbunyi: Koperasi yang melaksanakan kegiatan usaha simpan pinjam serta usaha simpan pinjam dan pembiayaan syariah vrajib menyampaikan laporan kepada sewaktu-waktu.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (2),9.0,2.0,,ayat,Laporan sebagairnana dimaksud pada ayat (1) disampaikan melalui sistem pelaporan secara elektronik.,Pasal 9 ayat (2) berbunyi: Laporan sebagairnana dimaksud pada ayat (1) disampaikan melalui sistem pelaporan secara elektronik.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (3),9.0,3.0,,ayat,Sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21dibuat oleh,Pasal 9 ayat (3) berbunyi: Sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21dibuat oleh,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (4),9.0,4.0,,ayat,"Dinas... (41 Dinas dapat membuat sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21 dengan memperhatikan ketentuan mengenai- sistem pelaporan secara elektronik yang ditetapkan oleh REPUBLIK TNDONESIA praktik tata kelola usaha membangun profesionalisme anggota;(5) Dalam hal sistem pelaporan secara elektronik belum terbentuk, Koperasi menyampaikan laporan sebagaimana dimaksud pada ayat (21secara manual. Bagian Kedua Usaha Koperasi Paragraf 1 Umum Pasal lO","Pasal 9 ayat (4) berbunyi: Dinas... (41 Dinas dapat membuat sistem pelaporan secara elektronik sebagaimana dimaksud pada ayat (21 dengan memperhatikan ketentuan mengenai- sistem pelaporan secara elektronik yang ditetapkan oleh REPUBLIK TNDONESIA praktik tata kelola usaha membangun profesionalisme anggota;(5) Dalam hal sistem pelaporan secara elektronik belum terbentuk, Koperasi menyampaikan laporan sebagaimana dimaksud pada ayat (21secara manual. Bagian Kedua Usaha Koperasi Paragraf 1 Umum Pasal lO",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,Usaha Koperasi merupakan usaha yang:,Pasal 9 ayat (1) berbunyi: Usaha Koperasi merupakan usaha yang:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin a,9.0,1.0,a,poin,berkaitan langsung dengan kepentingan anggota; dan,Pasal 9 ayat (1) poin a berbunyi: berkaitan langsung dengan kepentingan anggota; dan,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin b,9.0,1.0,b,poin,meningkatkan usaha dan kesejahteraan anggota. (21 Usaha Koperasi yang berkaitan langsung dengan kepentingan anggota sebagaimana dimaksucl pia.,Pasal 9 ayat (1) poin b berbunyi: meningkatkan usaha dan kesejahteraan anggota. (21 Usaha Koperasi yang berkaitan langsung dengan kepentingan anggota sebagaimana dimaksucl pia.,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,"huruf a dilakukan dengan memperha[ika., paling sedikit:","Pasal 9 ayat (1) berbunyi: huruf a dilakukan dengan memperha[ika., paling sedikit:",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin a,9.0,1.0,a,poin,kebutuhan anggota dan kapasitas Koperasi;,Pasal 9 ayat (1) poin a berbunyi: kebutuhan anggota dan kapasitas Koperasi;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin b,9.0,1.0,b,poin,-pengutamaan pemenuhan pelayanan terbaik kepada anggota untuk mendorong peningkatan loyalitas anggota; c yang danbaik untuk kepercayaan,Pasal 9 ayat (1) poin b berbunyi: -pengutamaan pemenuhan pelayanan terbaik kepada anggota untuk mendorong peningkatan loyalitas anggota; c yang danbaik untuk kepercayaan,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin d,9.0,1.0,d,poin,kerja sama antar-Koperasi; dan,Pasal 9 ayat (1) poin d berbunyi: kerja sama antar-Koperasi; dan,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin e,9.0,1.0,e,poin,kerja sama Koperasi dan/atau antar-Koperasi dengan badan usaha lain.,Pasal 9 ayat (1) poin e berbunyi: kerja sama Koperasi dan/atau antar-Koperasi dengan badan usaha lain.,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (3),9.0,3.0,,ayat,Usaha... PRES IDEN REPUBLIK lNDONESIA,Pasal 9 ayat (3) berbunyi: Usaha... PRES IDEN REPUBLIK lNDONESIA,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (3),9.0,3.0,,ayat,Usaha Koperasi untuk meningkatkan usaha dan kesejahteraan anggota sebagaimana dimaksud pada,Pasal 9 ayat (3) berbunyi: Usaha Koperasi untuk meningkatkan usaha dan kesejahteraan anggota sebagaimana dimaksud pada,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,huruf b dilakukan dengan memperhatikan paling sedikit:,Pasal 9 ayat (1) berbunyi: huruf b dilakukan dengan memperhatikan paling sedikit:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin a,9.0,1.0,a,poin,manfaat langsung dan tidak langsung yang dirasakan/diterima oleh anggota dan/ataumasyarakat yang memanfaatkan pelayanan/bisnis dengan Kooerasi;,Pasal 9 ayat (1) poin a berbunyi: manfaat langsung dan tidak langsung yang dirasakan/diterima oleh anggota dan/ataumasyarakat yang memanfaatkan pelayanan/bisnis dengan Kooerasi;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin b,9.0,1.0,b,poin,kerjasama antar-Koperasi; dan,Pasal 9 ayat (1) poin b berbunyi: kerjasama antar-Koperasi; dan,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin c,9.0,1.0,c,poin,"kemitraan dengan badan usaha lain, Pasal 1 1","Pasal 9 ayat (1) poin c berbunyi: kemitraan dengan badan usaha lain, Pasal 1 1",5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,Kegiatan usaha Koperasi dapat dilaksanakan secara:,Pasal 9 ayat (1) berbunyi: Kegiatan usaha Koperasi dapat dilaksanakan secara:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin a,9.0,1.0,a,poin,tunggal usaha; atau,Pasal 9 ayat (1) poin a berbunyi: tunggal usaha; atau,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin b,9.0,1.0,b,poin,serba usaha. (21 Kegiatan usaha Koperasi yang dilaksanakan secara tunggal usaha sebagaimana dimaksud pada ayat (1) huruf a merLlpakan Koperasi yang diselenggarakan pada 1 (satu) bidang atau sektor usaha tertentu.,Pasal 9 ayat (1) poin b berbunyi: serba usaha. (21 Kegiatan usaha Koperasi yang dilaksanakan secara tunggal usaha sebagaimana dimaksud pada ayat (1) huruf a merLlpakan Koperasi yang diselenggarakan pada 1 (satu) bidang atau sektor usaha tertentu.,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (3),9.0,3.0,,ayat,Kegiatan usaha Koperasi yang dilaksanakan secara serba usaha sebagaimana dimaksud pada ayat (1) huruf b merupakan Koperasi yang diselenggarakan dengan beberapa kegiatan usaha pada 1 (satu) atau lebih bidang atau sektor usaha tertentu.,Pasal 9 ayat (3) berbunyi: Kegiatan usaha Koperasi yang dilaksanakan secara serba usaha sebagaimana dimaksud pada ayat (1) huruf b merupakan Koperasi yang diselenggarakan dengan beberapa kegiatan usaha pada 1 (satu) atau lebih bidang atau sektor usaha tertentu.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (4),9.0,4.0,,ayat,Kegiatan usaha Koperasi sebagaimana dimaksud pada,Pasal 9 ayat (4) berbunyi: Kegiatan usaha Koperasi sebagaimana dimaksud pada,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,huruf b harus memiliki bidang usaha inti.,Pasal 9 ayat (1) berbunyi: huruf b harus memiliki bidang usaha inti.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (5),9.0,5.0,,ayat,Kegiatan usaha Koperasi sebagaimana dimaksud pada,Pasal 9 ayat (5) berbunyi: Kegiatan usaha Koperasi sebagaimana dimaksud pada,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1),9.0,1.0,,ayat,diselenggarakan berdasarkan paling sedikit:,Pasal 9 ayat (1) berbunyi: diselenggarakan berdasarkan paling sedikit:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin a,9.0,1.0,a,poin,kesamaan usaha;,Pasal 9 ayat (1) poin a berbunyi: kesamaan usaha;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin b,9.0,1.0,b,poin,potensi; cian,Pasal 9 ayat (1) poin b berbunyi: potensi; cian,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (1) poin o,9.0,1.0,o,poin,kebutuhan anggota.,Pasal 9 ayat (1) poin o berbunyi: kebutuhan anggota.,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (6),9.0,6.0,,ayat,Kegiatan .,Pasal 9 ayat (6) berbunyi: Kegiatan .,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 9 ayat (6),9.0,6.0,,ayat,Kegiatan usaha Koperasi sebagaimana dimaksud padaayat (1) dapat memiliki dan/atau memanfaatkan platform teknologi digital untuk mendorong akselerasi dan integrasi serta daya saing.,Pasal 9 ayat (6) berbunyi: Kegiatan usaha Koperasi sebagaimana dimaksud padaayat (1) dapat memiliki dan/atau memanfaatkan platform teknologi digital untuk mendorong akselerasi dan integrasi serta daya saing.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (1),12.0,1.0,,ayat,Kelebihan kemampuan pelayanan Koperasi dapat digunakan untuk memenuhi kebutuhan masyarakat yang bukan anggota Koperasi dalam rangka menarik minat masyarakat menjadi anggota Koperasi. (21 Kelebihan kemampuan pelayanan sebagaimana dimaksud pada ayat (1) tidak berlaku untuk Koperasisimpan pinjam dan unit usaha simpan pinjam Koperasi.,Pasal 12 ayat (1) berbunyi: Kelebihan kemampuan pelayanan Koperasi dapat digunakan untuk memenuhi kebutuhan masyarakat yang bukan anggota Koperasi dalam rangka menarik minat masyarakat menjadi anggota Koperasi. (21 Kelebihan kemampuan pelayanan sebagaimana dimaksud pada ayat (1) tidak berlaku untuk Koperasisimpan pinjam dan unit usaha simpan pinjam Koperasi.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (3),12.0,3.0,,ayat,Kelebihan kemampuan pelayanan sebagaimana dimaksud pada ayat (1) dihitung oleh pengurus Koperasi secara periodik ataur pada saat transaksi kegiatan usaha langsung.,Pasal 12 ayat (3) berbunyi: Kelebihan kemampuan pelayanan sebagaimana dimaksud pada ayat (1) dihitung oleh pengurus Koperasi secara periodik ataur pada saat transaksi kegiatan usaha langsung.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (4),12.0,4.0,,ayat,Pelayanan kepada masyarakat yang bukan anggota sebagaimana dimaksud pada ayat (1) dicatat sebagai transaksi bisnis.,Pasal 12 ayat (4) berbunyi: Pelayanan kepada masyarakat yang bukan anggota sebagaimana dimaksud pada ayat (1) dicatat sebagai transaksi bisnis.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5),12.0,5.0,,ayat,Kelebihan kemampr-ran pelayanan Koperasi sebagaimana dimaksud pada ayat (1) dilaksanakan dengan berpedoman pada prinsip Koperasi:,Pasal 12 ayat (5) berbunyi: Kelebihan kemampr-ran pelayanan Koperasi sebagaimana dimaksud pada ayat (1) dilaksanakan dengan berpedoman pada prinsip Koperasi:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5) poin a,12.0,5.0,a,poin,keanggotaan bersifat sukarela dan terbuka;,Pasal 12 ayat (5) poin a berbunyi: keanggotaan bersifat sukarela dan terbuka;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5) poin b,12.0,5.0,b,poin,pengelolaandilaksanakan secarademokratis;,Pasal 12 ayat (5) poin b berbunyi: pengelolaandilaksanakan secarademokratis;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5) poin c,12.0,5.0,c,poin,pembagian sisa hasil usaha dilakukan secara adil sebanding dengan besarnya jasa usaha masing- masing anggota;,Pasal 12 ayat (5) poin c berbunyi: pembagian sisa hasil usaha dilakukan secara adil sebanding dengan besarnya jasa usaha masing- masing anggota;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5) poin d,12.0,5.0,d,poin,pemberian balas jasa yang terbatas terhadap modal; kemanciirian; pendidikan perkoperasian; dan keda sama antar-Koperasi.e,Pasal 12 ayat (5) poin d berbunyi: pemberian balas jasa yang terbatas terhadap modal; kemanciirian; pendidikan perkoperasian; dan keda sama antar-Koperasi.e,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 12 ayat (5) poin f,12.0,5.0,f,poin,g Paragraf 2 Usaha Koperasi yang Melaksanakan Prinsip Syariah,Pasal 12 ayat (5) poin f berbunyi: g Paragraf 2 Usaha Koperasi yang Melaksanakan Prinsip Syariah,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (1),13.0,1.0,,ayat,Koperasi dapat menjalankan kegiatan usaha berdasarkan Prinsip Syariah.,Pasal 13 ayat (1) berbunyi: Koperasi dapat menjalankan kegiatan usaha berdasarkan Prinsip Syariah.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (2),13.0,2.0,,ayat,"Koperasi yang menjalankan kegiatan usaha berdasarkan Prinsip Syariah sebagaimana dimaksud pada ayat 1l) u,'ajih mencantumkan kata ,,Syariah,, derlam penamaan Koperasi.","Pasal 13 ayat (2) berbunyi: Koperasi yang menjalankan kegiatan usaha berdasarkan Prinsip Syariah sebagaimana dimaksud pada ayat 1l) u,'ajih mencantumkan kata ,,Syariah,, derlam penamaan Koperasi.",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (3),13.0,3.0,,ayat,Usaha Koperasi berdasarkan prinsip Syariah sebagaimana dimaksud pada ayat (1) hanya dapat Cilaksanakan oleh Koperasi syariah.,Pasal 13 ayat (3) berbunyi: Usaha Koperasi berdasarkan prinsip Syariah sebagaimana dimaksud pada ayat (1) hanya dapat Cilaksanakan oleh Koperasi syariah.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (4),13.0,4.0,,ayat,Usaha berdasarkan Prinsip Syariah wajib dituangkan dalam anggaran dasar Koperasi.,Pasal 13 ayat (4) berbunyi: Usaha berdasarkan Prinsip Syariah wajib dituangkan dalam anggaran dasar Koperasi.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (5),13.0,5.0,,ayat,"Koperasi syariah didirikan, dikelola, dan menjalankan kegiatan usaha berdasarkan Prinsip Syariah sesuai dengan fatw'a.syariah .yang dikeluaikan, oleh Majelis Ulama Indonesia.","Pasal 13 ayat (5) berbunyi: Koperasi syariah didirikan, dikelola, dan menjalankan kegiatan usaha berdasarkan Prinsip Syariah sesuai dengan fatw'a.syariah .yang dikeluaikan, oleh Majelis Ulama Indonesia.",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 13 ayat (6),13.0,6.0,,ayat,Koperasi syariah tiarus mclaksanakan kegiatan usaha yang tidak bertentangan dengan Prinsip Syariah.,Pasal 13 ayat (6) berbunyi: Koperasi syariah tiarus mclaksanakan kegiatan usaha yang tidak bertentangan dengan Prinsip Syariah.,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (1),14.0,1.0,,ayat,Koperasi syariah melaksanakan kegiatan usaha syariatr berdasarkan paling sedikit:,Pasal 14 ayat (1) berbunyi: Koperasi syariah melaksanakan kegiatan usaha syariatr berdasarkan paling sedikit:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (1) poin a,14.0,1.0,a,poin,kesamaan usaha;,Pasal 14 ayat (1) poin a berbunyi: kesamaan usaha;,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (1) poin b,14.0,1.0,b,poin,potensi; cian/atau,Pasal 14 ayat (1) poin b berbunyi: potensi; cian/atau,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (1) poin c,14.0,1.0,c,poin,"kebutuhan anggota dan masyarakat di bidang industri, perCagangan, jasa, serta bidang usaha lain.","Pasal 14 ayat (1) poin c berbunyi: kebutuhan anggota dan masyarakat di bidang industri, perCagangan, jasa, serta bidang usaha lain.",5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (2),14.0,2.0,,ayat,Usaha. . . PRES lDEN REPUBLIK INDONESIA,Pasal 14 ayat (2) berbunyi: Usaha. . . PRES lDEN REPUBLIK INDONESIA,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (3),14.0,3.0,,ayat,Usaha Koperasi syariah sebagaimana dimaksud pada,Pasal 14 ayat (3) berbunyi: Usaha Koperasi syariah sebagaimana dimaksud pada,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 14 ayat (1),14.0,1.0,,ayat,"dilaksanakan dengan akad pinjam-meminjam, bagi hasil, sewet-menyewa,.fual beli, dan/atau bentuk lainnya sesuai dengan Prinsip Syariah. Koperasi syariah dapat menjalankan fungsi sosial dala:n bentuk baitul maal untuk pemberdayaan sosialekonomi anggota dan masyarakat berdasarkan keLentuan peraturan perunclang-undangan.","Pasal 14 ayat (1) berbunyi: dilaksanakan dengan akad pinjam-meminjam, bagi hasil, sewet-menyewa,.fual beli, dan/atau bentuk lainnya sesuai dengan Prinsip Syariah. Koperasi syariah dapat menjalankan fungsi sosial dala:n bentuk baitul maal untuk pemberdayaan sosialekonomi anggota dan masyarakat berdasarkan keLentuan peraturan perunclang-undangan.",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 15 ayat (1),15.0,1.0,,ayat,Usaha simpan pinjam dan pembiayaan syariah hanya dapat dila ks.tnakan <tleh:,Pasal 15 ayat (1) berbunyi: Usaha simpan pinjam dan pembiayaan syariah hanya dapat dila ks.tnakan <tleh:,4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 15 ayat (1) poin a,15.0,1.0,a,poin,Koperasi'simpan pinjam dan pembiaydan s'yariah; atau,Pasal 15 ayat (1) poin a berbunyi: Koperasi'simpan pinjam dan pembiaydan s'yariah; atau,5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 15 ayat (1) poin b,15.0,1.0,b,poin,",unit simpan p,njam dan pembiayaan syariah pada Koperasi syariah.","Pasal 15 ayat (1) poin b berbunyi: ,unit simpan p,njam dan pembiayaan syariah pada Koperasi syariah.",5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 15 ayat (2),15.0,2.0,,ayat,"Uszrhit simpan pinjarn clan pembiayaan syariah oleh Koperasi syariah dilaksanakan clengatn kegiatan sesuai dengarr Prinsip Syariah, rneliputi:","Pasal 15 ayat (2) berbunyi: Uszrhit simpan pinjarn clan pembiayaan syariah oleh Koperasi syariah dilaksanakan clengatn kegiatan sesuai dengarr Prinsip Syariah, rneliputi:",4,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
Pasal 15 ayat (2) poin a,15.0,2.0,a,poin,"rnenghimpun dana dari anggota, Koperasi lain, dan anggoranya dalam bentuk-tabungan dengan akad' titipdn, simpanan berjangka dengan akad bagi hasil clan/atau bentuk lain;","Pasal 15 ayat (2) poin a berbunyi: rnenghimpun dana dari anggota, Koperasi lain, dan anggoranya dalam bentuk-tabungan dengan akad' titipdn, simpanan berjangka dengan akad bagi hasil clan/atau bentuk lain;",5,PP Nomor 7 Tahun 2021,PP Nomor 7 Tahun 2021.pdf
