identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
Pasal 6 ayat (1),6.0,1.0,,ayat,Kriteria Usaha Mikro adalah sebagai berikut:,Pasal 6 ayat (1) berbunyi: Kriteria Usaha Mikro adalah sebagai berikut:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (1) poin a,6.0,1.0,a,poin,"memiliki kekayaan bersih paling banyak Rp50.000.000,00 (lima puluh juta rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau","Pasal 6 ayat (1) poin a berbunyi: memiliki kekayaan bersih paling banyak Rp50.000.000,00 (lima puluh juta rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (1) poin b,6.0,1.0,b,poin,"memiliki hasil penjualan tahunan paling banyak Rp300.000.000,00 (tiga ratus juta rupiah).","Pasal 6 ayat (1) poin b berbunyi: memiliki hasil penjualan tahunan paling banyak Rp300.000.000,00 (tiga ratus juta rupiah).",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (2),6.0,2.0,,ayat,Kriteria Usaha Kecil adalah sebagai berikut:,Pasal 6 ayat (2) berbunyi: Kriteria Usaha Kecil adalah sebagai berikut:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (2) poin a,6.0,2.0,a,poin,"memiliki kekayaan bersih lebih dari Rp50.000.000,00 (lima puluh juta rupiah) sampai dengan paling banyak Rp500.000.000,00 (lima ratus juta rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau","Pasal 6 ayat (2) poin a berbunyi: memiliki kekayaan bersih lebih dari Rp50.000.000,00 (lima puluh juta rupiah) sampai dengan paling banyak Rp500.000.000,00 (lima ratus juta rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (2) poin b,6.0,2.0,b,poin,memiliki . . .,Pasal 6 ayat (2) poin b berbunyi: memiliki . . .,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (2) poin b,6.0,2.0,b,poin,"memiliki hasil penjualan tahunan lebih dari Rp300.000.000,00 (tiga ratus juta rupiah) sampai dengan paling banyak Rp2.500.000.000,00 (dua milyar lima ratus juta rupiah).","Pasal 6 ayat (2) poin b berbunyi: memiliki hasil penjualan tahunan lebih dari Rp300.000.000,00 (tiga ratus juta rupiah) sampai dengan paling banyak Rp2.500.000.000,00 (dua milyar lima ratus juta rupiah).",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (3),6.0,3.0,,ayat,Kriteria Usaha Menengah adalah sebagai berikut:,Pasal 6 ayat (3) berbunyi: Kriteria Usaha Menengah adalah sebagai berikut:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (3) poin a,6.0,3.0,a,poin,"memiliki kekayaan bersih lebih dari Rp500.000.000,00 (lima ratus juta rupiah) sampai dengan paling banyak Rp10.000.000.000,00 (sepuluh milyar rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau","Pasal 6 ayat (3) poin a berbunyi: memiliki kekayaan bersih lebih dari Rp500.000.000,00 (lima ratus juta rupiah) sampai dengan paling banyak Rp10.000.000.000,00 (sepuluh milyar rupiah) tidak termasuk tanah dan bangunan tempat usaha; atau",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (3) poin b,6.0,3.0,b,poin,"memiliki hasil penjualan tahunan lebih dari Rp2.500.000.000,00 (dua milyar lima ratus juta rupiah) sampai dengan paling banyak Rp50.000.000.000,00 (lima puluh milyar rupiah).","Pasal 6 ayat (3) poin b berbunyi: memiliki hasil penjualan tahunan lebih dari Rp2.500.000.000,00 (dua milyar lima ratus juta rupiah) sampai dengan paling banyak Rp50.000.000.000,00 (lima puluh milyar rupiah).",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 6 ayat (4),6.0,4.0,,ayat,"Kriteria sebagaimana dimaksud pada ayat (1) huruf a, huruf b, dan ayat (2) huruf a, huruf b, serta ayat (3) huruf a, huru f b nilai nominalnya dapat diubah sesuai dengan perkembangan perekonomian yang diatur dengan Peratura n Presiden.","Pasal 6 ayat (4) berbunyi: Kriteria sebagaimana dimaksud pada ayat (1) huruf a, huruf b, dan ayat (2) huruf a, huruf b, serta ayat (3) huruf a, huru f b nilai nominalnya dapat diubah sesuai dengan perkembangan perekonomian yang diatur dengan Peratura n Presiden.",4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
bab,,,,bab,BAB V: PENUMBUHAN IKLIM USAHA,BAB V: PENUMBUHAN IKLIM USAHA,1,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1),7.0,1.0,,ayat,Pemerintah dan Pemerintah Daerah menumbuhkan Iklim Usaha dengan menetapkan peraturan perundang-undanga n dan kebijakan yang meliputi aspek:,Pasal 7 ayat (1) berbunyi: Pemerintah dan Pemerintah Daerah menumbuhkan Iklim Usaha dengan menetapkan peraturan perundang-undanga n dan kebijakan yang meliputi aspek:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin a,7.0,1.0,a,poin,pendanaan;,Pasal 7 ayat (1) poin a berbunyi: pendanaan;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin b,7.0,1.0,b,poin,sarana dan prasarana;,Pasal 7 ayat (1) poin b berbunyi: sarana dan prasarana;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin c,7.0,1.0,c,poin,informasi usaha;,Pasal 7 ayat (1) poin c berbunyi: informasi usaha;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin d,7.0,1.0,d,poin,kemitraan;,Pasal 7 ayat (1) poin d berbunyi: kemitraan;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin e,7.0,1.0,e,poin,perizinan usaha;,Pasal 7 ayat (1) poin e berbunyi: perizinan usaha;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin f,7.0,1.0,f,poin,kesempatan berusaha;,Pasal 7 ayat (1) poin f berbunyi: kesempatan berusaha;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin g,7.0,1.0,g,poin,promosi dagang; dan,Pasal 7 ayat (1) poin g berbunyi: promosi dagang; dan,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (1) poin h,7.0,1.0,h,poin,dukungan kelembagaan.,Pasal 7 ayat (1) poin h berbunyi: dukungan kelembagaan.,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 7 ayat (2),7.0,2.0,,ayat,Dunia Usaha dan masyarakat berperan serta seca ra aktif membantu menumbuhkan Iklim Usaha sebagaimana dimaksud pada ayat (1). Pasal 8 . . .,Pasal 7 ayat (2) berbunyi: Dunia Usaha dan masyarakat berperan serta seca ra aktif membantu menumbuhkan Iklim Usaha sebagaimana dimaksud pada ayat (1). Pasal 8 . . .,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8,8.0,,,pasal,Aspek pendanaan sebagaimana dimaksud dalam Pas al 7,Pasal 8 berbunyi: Aspek pendanaan sebagaimana dimaksud dalam Pas al 7,3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8 ayat (1),8.0,1.0,,ayat,huruf a ditujukan untuk:,Pasal 8 ayat (1) berbunyi: huruf a ditujukan untuk:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8 ayat (1) poin a,8.0,1.0,a,poin,"memperluas sumber pendanaan dan memfasilitasi Usaha Mikro, Kecil, dan Menengah untuk dapat mengakses kredit perbankan dan lembaga keuangan bukan bank;","Pasal 8 ayat (1) poin a berbunyi: memperluas sumber pendanaan dan memfasilitasi Usaha Mikro, Kecil, dan Menengah untuk dapat mengakses kredit perbankan dan lembaga keuangan bukan bank;",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8 ayat (1) poin b,8.0,1.0,b,poin,"memperbanyak lembaga pembiayaan dan memperluas jaringannya sehingga dapat diakses oleh Usaha Mikro, Kecil, dan Menengah;","Pasal 8 ayat (1) poin b berbunyi: memperbanyak lembaga pembiayaan dan memperluas jaringannya sehingga dapat diakses oleh Usaha Mikro, Kecil, dan Menengah;",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8 ayat (1) poin c,8.0,1.0,c,poin,"memberikan kemudahan dalam memperoleh pendanaan secara cepat, tepat, murah, dan tidak diskriminatif dalam pelayanan sesuai dengan ketentuan peraturan perundang - undangan; dan","Pasal 8 ayat (1) poin c berbunyi: memberikan kemudahan dalam memperoleh pendanaan secara cepat, tepat, murah, dan tidak diskriminatif dalam pelayanan sesuai dengan ketentuan peraturan perundang - undangan; dan",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 8 ayat (1) poin d,8.0,1.0,d,poin,"membantu para pelaku Usaha Mikro dan Usaha Kecil un tuk mendapatkan pembiayaan dan jasa/produk keuangan lainnya yang disediakan oleh perbankan dan lembaga keuangan bukan bank, baik yang menggunakan sistem konvensional maupun sistem syariah dengan jaminan yang disediakan oleh Pemerintah.","Pasal 8 ayat (1) poin d berbunyi: membantu para pelaku Usaha Mikro dan Usaha Kecil un tuk mendapatkan pembiayaan dan jasa/produk keuangan lainnya yang disediakan oleh perbankan dan lembaga keuangan bukan bank, baik yang menggunakan sistem konvensional maupun sistem syariah dengan jaminan yang disediakan oleh Pemerintah.",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 9,9.0,,,pasal,Aspek sarana dan prasarana sebagaimana dimaksud dalam Pasal 7 ayat (1) huruf b ditujukan untuk: a. mengadakan prasarana umum yang dapat mendorong d an mengembangkan pertumbuhan Usaha Mikro dan Kecil; dan b. memberikan keringanan tarif prasarana tertentu bagi Usaha Mikro dan Kecil.,Pasal 9 berbunyi: Aspek sarana dan prasarana sebagaimana dimaksud dalam Pasal 7 ayat (1) huruf b ditujukan untuk: a. mengadakan prasarana umum yang dapat mendorong d an mengembangkan pertumbuhan Usaha Mikro dan Kecil; dan b. memberikan keringanan tarif prasarana tertentu bagi Usaha Mikro dan Kecil.,3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 10,10.0,,,pasal,Aspek informasi usaha sebagaimana dimaksud dalam Pasal 7,Pasal 10 berbunyi: Aspek informasi usaha sebagaimana dimaksud dalam Pasal 7,3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 10 ayat (1),10.0,1.0,,ayat,huruf c ditujukan untuk:,Pasal 10 ayat (1) berbunyi: huruf c ditujukan untuk:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 10 ayat (1) poin a,10.0,1.0,a,poin,membentuk dan mempermudah pemanfaatan bank data dan jaringan informasi bisnis;,Pasal 10 ayat (1) poin a berbunyi: membentuk dan mempermudah pemanfaatan bank data dan jaringan informasi bisnis;,5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 10 ayat (1) poin b,10.0,1.0,b,poin,"mengadakan dan menyebarluaskan informasi mengenai pasar, sumber pembiayaan, komoditas, penjaminan, desain dan teknologi, dan mutu; dan","Pasal 10 ayat (1) poin b berbunyi: mengadakan dan menyebarluaskan informasi mengenai pasar, sumber pembiayaan, komoditas, penjaminan, desain dan teknologi, dan mutu; dan",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 10 ayat (1) poin c,10.0,1.0,c,poin,"memberikan jaminan transparansi dan akses yang sama bagi semua pelaku Usaha Mikro, Kecil, dan Menengah atas segala informasi usaha. Pasal 11 . . .","Pasal 10 ayat (1) poin c berbunyi: memberikan jaminan transparansi dan akses yang sama bagi semua pelaku Usaha Mikro, Kecil, dan Menengah atas segala informasi usaha. Pasal 11 . . .",5,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 11,11.0,,,pasal,"Aspek kemitraan sebagaimana dimaksud dalam Pasal 7 ay at (1) huruf d ditujukan untuk: a. mewujudkan kemitraan antar-Usaha Mikro, Kecil, dan Menengah; b. mewujudkan kemitraan antara Usaha Mikro, Kecil, Menengah, dan Usaha Besar; c. mendorong terjadinya hubungan yang saling menguntungkan dalam pelaksanaan transaksi usaha antar- Usaha Mikro, Kecil, dan Menengah; d. mendorong terjadinya hubungan yang saling menguntungkan dalam pelaksanaan transaksi usaha antara Usaha Mikro, Kecil, Menengah, dan Usaha Besar; e. mengembangkan kerjasama untuk meningkatkan posisi tawar Usaha Mikro, Kecil, dan Menengah; f. mendorong terbentuknya struktur pasar yang menjam in tumbuhnya persaingan usaha yang sehat dan melindungi konsumen; dan g. mencegah terjadinya penguasaan pasar dan pemusata n usaha oleh orang perorangan atau kelompok tertentu y ang merugikan Usaha Mikro, Kecil, dan Menengah.","Pasal 11 berbunyi: Aspek kemitraan sebagaimana dimaksud dalam Pasal 7 ay at (1) huruf d ditujukan untuk: a. mewujudkan kemitraan antar-Usaha Mikro, Kecil, dan Menengah; b. mewujudkan kemitraan antara Usaha Mikro, Kecil, Menengah, dan Usaha Besar; c. mendorong terjadinya hubungan yang saling menguntungkan dalam pelaksanaan transaksi usaha antar- Usaha Mikro, Kecil, dan Menengah; d. mendorong terjadinya hubungan yang saling menguntungkan dalam pelaksanaan transaksi usaha antara Usaha Mikro, Kecil, Menengah, dan Usaha Besar; e. mengembangkan kerjasama untuk meningkatkan posisi tawar Usaha Mikro, Kecil, dan Menengah; f. mendorong terbentuknya struktur pasar yang menjam in tumbuhnya persaingan usaha yang sehat dan melindungi konsumen; dan g. mencegah terjadinya penguasaan pasar dan pemusata n usaha oleh orang perorangan atau kelompok tertentu y ang merugikan Usaha Mikro, Kecil, dan Menengah.",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 12 ayat (1),12.0,1.0,,ayat,Aspek perizinan usaha sebagaimana dimaksud dalam Pasa l 7,Pasal 12 ayat (1) berbunyi: Aspek perizinan usaha sebagaimana dimaksud dalam Pasa l 7,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 12 ayat (1),12.0,1.0,,ayat,huruf e ditujukan untuk:,Pasal 12 ayat (1) berbunyi: huruf e ditujukan untuk:,4,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
