identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
Pasal 3,3,,,pasal,"Wajib Pajak yang memiliki peredaran bruto tertentu yang dikenai Pajak Penghasilan final sebagaimana dimaksud dalam Pasal 2 ayat (l) merupakan: a. Wajib Pajak orang pribadi; dan b. Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, firma, atau perseroan terbatas, yang menerima atau memperoleh penghasilan dengan peredaran bruto tidak melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah) dalam 1 (satu) Tahun Pajak. Tidak termasuk Wajib Pajak sebagaimana dimaksud pada","Pasal 3 berbunyi: Wajib Pajak yang memiliki peredaran bruto tertentu yang dikenai Pajak Penghasilan final sebagaimana dimaksud dalam Pasal 2 ayat (l) merupakan: a. Wajib Pajak orang pribadi; dan b. Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, firma, atau perseroan terbatas, yang menerima atau memperoleh penghasilan dengan peredaran bruto tidak melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah) dalam 1 (satu) Tahun Pajak. Tidak termasuk Wajib Pajak sebagaimana dimaksud pada",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (1),3,1.0,,ayat,dalam hal:,Pasal 3 ayat (1) berbunyi: dalam hal:,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (1) poin a,3,1.0,a,poin,"Wajib Pajak memilih untuk dikenai Pajak Penghasilan berdasarkan tarif Pasal 17 ayat (1) hurufa, Pasal 17 ayat (2a1, atau Pasal 3lE Undang- Undang Pajak Penghasilan;","Pasal 3 ayat (1) poin a berbunyi: Wajib Pajak memilih untuk dikenai Pajak Penghasilan berdasarkan tarif Pasal 17 ayat (1) hurufa, Pasal 17 ayat (2a1, atau Pasal 3lE Undang- Undang Pajak Penghasilan;",5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (1) poin b,3,1.0,b,poin,Wajib Pajak badan berbentuk persekutuan komanditer atau firma yang dibentuk oleh beberapa Wajib Pajak orang pribadi yang memiliki keahlian khusus menyerahkan jasa sejenis dengan jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud dalam Pasal 2 ayat (41;,Pasal 3 ayat (1) poin b berbunyi: Wajib Pajak badan berbentuk persekutuan komanditer atau firma yang dibentuk oleh beberapa Wajib Pajak orang pribadi yang memiliki keahlian khusus menyerahkan jasa sejenis dengan jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud dalam Pasal 2 ayat (41;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (1) poin c,3,1.0,c,poin,Wajib Pajak badan memperoleh fasilitas Pajak Penghasilan berdasarkan: 1. Pasal 31A Undang-Undang Pajak Penghasilan; atau(2) 2. Peraturan,Pasal 3 ayat (1) poin c berbunyi: Wajib Pajak badan memperoleh fasilitas Pajak Penghasilan berdasarkan: 1. Pasal 31A Undang-Undang Pajak Penghasilan; atau(2) 2. Peraturan,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (3),3,3.0,,ayat,(4\ (s) 2. Peraturan Pemerintah Nomor 94 Tahun 2010 tentang Penghitungan Penghasilan Kena Pajak dan Pelunasan Pajak Penghasilan dalam Tahun Berjalan beserta perubahan atau penggantinya; dan,Pasal 3 ayat (3) berbunyi: (4\ (s) 2. Peraturan Pemerintah Nomor 94 Tahun 2010 tentang Penghitungan Penghasilan Kena Pajak dan Pelunasan Pajak Penghasilan dalam Tahun Berjalan beserta perubahan atau penggantinya; dan,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 3 ayat (3) poin d,3,3.0,d,poin,"Wajib Pajak berbentuk Bentuk Usaha Tetap. Wajib Pajak sebagaimana dimaksud pada ayat (2) huruf a, waj ib menyampaikan pemberitahuan kepada Direktur Jenderal Pajak. Wajib Pajak sebagaimana dimaksud pada ayat (3), untuk Tahun Pajak - Tahun Pajak berikutnya tidak dapatdikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini. Ketentuan lebih lanjut mengenai tata cara pemberitahuan sebagaimana dimaksud pada ayat (3) diatur dengan Peraturan Menteri Keuangan.","Pasal 3 ayat (3) poin d berbunyi: Wajib Pajak berbentuk Bentuk Usaha Tetap. Wajib Pajak sebagaimana dimaksud pada ayat (2) huruf a, waj ib menyampaikan pemberitahuan kepada Direktur Jenderal Pajak. Wajib Pajak sebagaimana dimaksud pada ayat (3), untuk Tahun Pajak - Tahun Pajak berikutnya tidak dapatdikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini. Ketentuan lebih lanjut mengenai tata cara pemberitahuan sebagaimana dimaksud pada ayat (3) diatur dengan Peraturan Menteri Keuangan.",5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 4,4,,,pasal,"Besarnya peredaran bruto tertentu sebagaimana dimaksud dalam Pasal 3 ayat (1) merupakan jumlah peredaran bruto dalam I (satu) tahun dari Tahun Pajak terakhir sebelum Tahun Pajak bersangkutan, yang ditentukan berdasarkan keseluruhan peredaran bruto dari usaha, termasuk peredaran bruto dari cabang. Dalam hal Wajib Pajak orang pribadi merupakan suami- isteri yang: a. menghendaki perjanjian pemisahan harta dan penghasilan secara tertulis; atau b. isterinya menghendaki memilih untuk menjalankan hak dan kewajiban perpajakannya sendiri, sebagaimana dimaksud dalam Pasal 8 ayat (2) huruf bdan huruf c Undang-Undang Pajak Penghasilan, besarnya peredaran bruto sebagaimana dimaksud padaayat (1) ditentukan berdasarkan penggabungan peredaran bruto usaha dari suami dan isteri.(1) (2t","Pasal 4 berbunyi: Besarnya peredaran bruto tertentu sebagaimana dimaksud dalam Pasal 3 ayat (1) merupakan jumlah peredaran bruto dalam I (satu) tahun dari Tahun Pajak terakhir sebelum Tahun Pajak bersangkutan, yang ditentukan berdasarkan keseluruhan peredaran bruto dari usaha, termasuk peredaran bruto dari cabang. Dalam hal Wajib Pajak orang pribadi merupakan suami- isteri yang: a. menghendaki perjanjian pemisahan harta dan penghasilan secara tertulis; atau b. isterinya menghendaki memilih untuk menjalankan hak dan kewajiban perpajakannya sendiri, sebagaimana dimaksud dalam Pasal 8 ayat (2) huruf bdan huruf c Undang-Undang Pajak Penghasilan, besarnya peredaran bruto sebagaimana dimaksud padaayat (1) ditentukan berdasarkan penggabungan peredaran bruto usaha dari suami dan isteri.(1) (2t",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1),5,1.0,,ayat,PRESIOEN REPUBLIK INDONESIA,Pasal 5 ayat (1) berbunyi: PRESIOEN REPUBLIK INDONESIA,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5,5,,,pasal,Jangka waktu tertentu pengenaan Pajak Penghasilan yang bersifat final sebagaimana dimaksud dalam Pasal 2,Pasal 5 berbunyi: Jangka waktu tertentu pengenaan Pajak Penghasilan yang bersifat final sebagaimana dimaksud dalam Pasal 2,3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1),5,1.0,,ayat,yaitu paling lama:,Pasal 5 ayat (1) berbunyi: yaitu paling lama:,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1) poin a,5,1.0,a,poin,7 (tujuh) Tahun Pajak bagi Wajib Pajak orang pribadi;,Pasal 5 ayat (1) poin a berbunyi: 7 (tujuh) Tahun Pajak bagi Wajib Pajak orang pribadi;,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1) poin b,5,1.0,b,poin,"4 (empat) Tahun Pajak bagi Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, atau firma; dan","Pasal 5 ayat (1) poin b berbunyi: 4 (empat) Tahun Pajak bagi Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, atau firma; dan",5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1) poin c,5,1.0,c,poin,3 (tiga) Tahun Pajak bagi Wajib Pajak badan berbentuk perseroan terbatas. Jangka waktu sebagaimana dimaksud pada ayat (1) terhitung sejak:,Pasal 5 ayat (1) poin c berbunyi: 3 (tiga) Tahun Pajak bagi Wajib Pajak badan berbentuk perseroan terbatas. Jangka waktu sebagaimana dimaksud pada ayat (1) terhitung sejak:,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1) poin a,5,1.0,a,poin,"Tahun Pajak Wajib Pajak terdaftar, bagi Wajib Pajakyang terdaftar sejak berlakunya Peraturan Pemerintah ini, atau","Pasal 5 ayat (1) poin a berbunyi: Tahun Pajak Wajib Pajak terdaftar, bagi Wajib Pajakyang terdaftar sejak berlakunya Peraturan Pemerintah ini, atau",5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 5 ayat (1) poin b,5,1.0,b,poin,"Tahun Pajak berlakunya Peraturan Pemerintah ini, bagi Wajib Pajak yang telah terdaftar sebelum berlakunya Peraturan Pemerintah ini.","Pasal 5 ayat (1) poin b berbunyi: Tahun Pajak berlakunya Peraturan Pemerintah ini, bagi Wajib Pajak yang telah terdaftar sebelum berlakunya Peraturan Pemerintah ini.",5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 6,6,,,pasal,"Jumlah peredaran bruto atas penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (1) setiapbulan merupakan dasar pengenaan pajak yang digunakan untuk menghitung Pajak Penghasiian yang bersifat final. Peredaran bruto yang dijadikan dasar pengenaan pajak sebagaimana dimaksud pada ayat (1) merupakan imbalan atau nilai pengganti berupa uang atau nilai uang yang diterima atau diperoleh dari usaha, sebelum dikurangi potongan penjualan, potongan tunai, dan/atau potongan sejenis. Pajak Penghasilan terutang dihitung berdasarkan tarif sebagaimana dimaksud dalam Pasal 2 ayat (2) dikalikan dengan dasar pengenaan pajak sebagaimana dimaksud pada ayat ( 1).(2)","Pasal 6 berbunyi: Jumlah peredaran bruto atas penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (1) setiapbulan merupakan dasar pengenaan pajak yang digunakan untuk menghitung Pajak Penghasiian yang bersifat final. Peredaran bruto yang dijadikan dasar pengenaan pajak sebagaimana dimaksud pada ayat (1) merupakan imbalan atau nilai pengganti berupa uang atau nilai uang yang diterima atau diperoleh dari usaha, sebelum dikurangi potongan penjualan, potongan tunai, dan/atau potongan sejenis. Pajak Penghasilan terutang dihitung berdasarkan tarif sebagaimana dimaksud dalam Pasal 2 ayat (2) dikalikan dengan dasar pengenaan pajak sebagaimana dimaksud pada ayat ( 1).(2)",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (1),7,1.0,,ayat,"(2t ,7","Pasal 7 ayat (1) berbunyi: (2t ,7",4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7,7,,,pasal,Wajib Pajak sebagaimana dimaksud dalam Pasal 3 ayat,Pasal 7 berbunyi: Wajib Pajak sebagaimana dimaksud dalam Pasal 3 ayat,3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (1),7,1.0,,ayat,"yang peredaran brutonya pada Tahun Pajak berjatantelah melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah), atas penghasilan dari usahatetap dikenai tarif Pajak Penghasilan sebagaimana dimaksud dalam Pasal 2 ayat (2) sampai dengan akhir Tahun Pajak bersangkutan. Atas penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (ll yang diterima atau diperoleh pada Tahun Pajak - Tahun Pajak berikutnya oleh Wajib Pajak sebagaimana dimaksud pada ayat (1) dikenai Pajak Penghasilan berdasarkan tarif Pasai 77 ayat (1) huruf a, Pasal 17 ayat (2a), atau Pasal 3lE Undang-Undang Pajak Penghasilan.","Pasal 7 ayat (1) berbunyi: yang peredaran brutonya pada Tahun Pajak berjatantelah melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah), atas penghasilan dari usahatetap dikenai tarif Pajak Penghasilan sebagaimana dimaksud dalam Pasal 2 ayat (2) sampai dengan akhir Tahun Pajak bersangkutan. Atas penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (ll yang diterima atau diperoleh pada Tahun Pajak - Tahun Pajak berikutnya oleh Wajib Pajak sebagaimana dimaksud pada ayat (1) dikenai Pajak Penghasilan berdasarkan tarif Pasai 77 ayat (1) huruf a, Pasal 17 ayat (2a), atau Pasal 3lE Undang-Undang Pajak Penghasilan.",4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (1),7,1.0,,ayat,Pasal 8 Pajak Penghasilan terutang dalam Pasal 6 ayat (3) dilunasisebagaimana dimaksud dengan cara:,Pasal 7 ayat (1) berbunyi: Pasal 8 Pajak Penghasilan terutang dalam Pasal 6 ayat (3) dilunasisebagaimana dimaksud dengan cara:,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (3),7,3.0,,ayat,a. disetor sendiri oleh Wajib Pajak yang memiliki peredaran bruto tertentu; atau,Pasal 7 ayat (3) berbunyi: a. disetor sendiri oleh Wajib Pajak yang memiliki peredaran bruto tertentu; atau,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (3) poin b,7,3.0,b,poin,dipotong atau dipungut oleh Pemotong atau Pemungut Pajak dalam hal Wajib Pajak bersangkutan melakukan transaksi dengan pihak yang ditunjuk sebagai Pemotong atau Pemungut Pajak. Penyetoran sendiri Pajak Penghasilan terutang sebagaimana dimaksud pada ayat (1) huruf a wajib dilakukan setiap bulan. Pemotongan atau pemungutan Pajak Penghasilan terutang sebagaimana dimaksud pada ayat (1) huruf b wajib dilakukan oleh Pemotong atau Pemungut Pajak untuk setiap transaksi dengan Wajib Pajak yang dikenai Pajak Penghasilan yang bersifat iinal berdasarkan Peraturan Pemerintah ini.,Pasal 7 ayat (3) poin b berbunyi: dipotong atau dipungut oleh Pemotong atau Pemungut Pajak dalam hal Wajib Pajak bersangkutan melakukan transaksi dengan pihak yang ditunjuk sebagai Pemotong atau Pemungut Pajak. Penyetoran sendiri Pajak Penghasilan terutang sebagaimana dimaksud pada ayat (1) huruf a wajib dilakukan setiap bulan. Pemotongan atau pemungutan Pajak Penghasilan terutang sebagaimana dimaksud pada ayat (1) huruf b wajib dilakukan oleh Pemotong atau Pemungut Pajak untuk setiap transaksi dengan Wajib Pajak yang dikenai Pajak Penghasilan yang bersifat iinal berdasarkan Peraturan Pemerintah ini.,5,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (4),7,4.0,,ayat,Ketentuan,Pasal 7 ayat (4) berbunyi: Ketentuan,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 7 ayat (4),7,4.0,,ayat,Ketentuan lebih lanjut mengenai tata cara penyetoran sebagaimana dimaksud pada ayat (2) dan tata cara pemotongan atau pemungutan sebagaimana dimaksud pada ayat (3) diatur dengan Peraturan Menteri Keuangan.,Pasal 7 ayat (4) berbunyi: Ketentuan lebih lanjut mengenai tata cara penyetoran sebagaimana dimaksud pada ayat (2) dan tata cara pemotongan atau pemungutan sebagaimana dimaksud pada ayat (3) diatur dengan Peraturan Menteri Keuangan.,4,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 9,9,,,pasal,"Dalam hal Wajib Paj ak yang dikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini bertransaksi dengan Pemotong atau Pemungut Pajak sebagaimana dimaksud dalam Pasal 8 ayat (1) huruf b, Wajib Pajak harus mengajukan permohonan surat keterangan kepada Direktur Jenderal P4iak. Direktur .ienderal Pajak menerbitkan surat keterangan bahwa Wajib Pajak bersangkutan dikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini, berdasarkan permohonan Wajib Pajak sebagaimana dimaksud pada ayat (1). Ketentuan lebih lanjut mengenai tata cara pengajuan permohonan dan penerbitan surat keterangan sebagaimana dimaksud pada ayat (1) dan ayat (2) diatur dengan Peraturan Menteri Keuangan.","Pasal 9 berbunyi: Dalam hal Wajib Paj ak yang dikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini bertransaksi dengan Pemotong atau Pemungut Pajak sebagaimana dimaksud dalam Pasal 8 ayat (1) huruf b, Wajib Pajak harus mengajukan permohonan surat keterangan kepada Direktur Jenderal P4iak. Direktur .ienderal Pajak menerbitkan surat keterangan bahwa Wajib Pajak bersangkutan dikenai Pajak Penghasilan berdasarkan Peraturan Pemerintah ini, berdasarkan permohonan Wajib Pajak sebagaimana dimaksud pada ayat (1). Ketentuan lebih lanjut mengenai tata cara pengajuan permohonan dan penerbitan surat keterangan sebagaimana dimaksud pada ayat (1) dan ayat (2) diatur dengan Peraturan Menteri Keuangan.",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 10,10,,,pasal,"Pada saat Peraturan Pemerintah ini mulai berlaku, bagi Wajib Pajak yang sejak awal Tahun Pajak 2018 sampai dengan sebelum Peraturan Pemerintah ini berlaku memenuhi syarat untuk menjalankan kewajiban perpajakan berdasarkan Peraturan Pemerintah Nomor 46 Tahun 2013 tentang Pajak Penghasilan atas Penghasilan dari Usaha yang Diterima atau Diperoleh Wajib Pajak yang Memiliki Peredaran Bruto Tertentu, namun tidak memenuhi ketentuan Wajib Pajak yang dikenai Pajak Penghasilan final berdasarkan Peraturan Pemerintah ini, berlaku ketentuan sebagai berikut: 1. untuk 2.1. untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (L1yang diterima atau diperoleh sejak awal Tahun Pajak sampai dengan sebelum Peraturan Pemerintah ini berlaku, dikenai Pajak Penghasilan dengan tarif l%o (satu persen) dari peredaran bruto setiap bulan; untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat {11 yang diterima atau diperoleh sejak Peraturan Pemerintah ini berlaku sampai dengan akhir Tahun Pajak 2018, dikenai Pajak Penghasilan dengan tarif 0,5% (nol koma lima persen) dari peredaran bruto setiap bulan; dan untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (ll yang diterima atau diperoleh mulaiTahun Pajak 2019, dikenai Pajak Penghasilan berdasarkan tarif Pasal L7 ayat (1) huruf a, Pasa1 17 ayat (2a), atau Pasal 31E Undang-Undang Pajak Penghasilan.","Pasal 10 berbunyi: Pada saat Peraturan Pemerintah ini mulai berlaku, bagi Wajib Pajak yang sejak awal Tahun Pajak 2018 sampai dengan sebelum Peraturan Pemerintah ini berlaku memenuhi syarat untuk menjalankan kewajiban perpajakan berdasarkan Peraturan Pemerintah Nomor 46 Tahun 2013 tentang Pajak Penghasilan atas Penghasilan dari Usaha yang Diterima atau Diperoleh Wajib Pajak yang Memiliki Peredaran Bruto Tertentu, namun tidak memenuhi ketentuan Wajib Pajak yang dikenai Pajak Penghasilan final berdasarkan Peraturan Pemerintah ini, berlaku ketentuan sebagai berikut: 1. untuk 2.1. untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (L1yang diterima atau diperoleh sejak awal Tahun Pajak sampai dengan sebelum Peraturan Pemerintah ini berlaku, dikenai Pajak Penghasilan dengan tarif l%o (satu persen) dari peredaran bruto setiap bulan; untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat {11 yang diterima atau diperoleh sejak Peraturan Pemerintah ini berlaku sampai dengan akhir Tahun Pajak 2018, dikenai Pajak Penghasilan dengan tarif 0,5% (nol koma lima persen) dari peredaran bruto setiap bulan; dan untuk penghasilan dari usaha sebagaimana dimaksud dalam Pasal 2 ayat (ll yang diterima atau diperoleh mulaiTahun Pajak 2019, dikenai Pajak Penghasilan berdasarkan tarif Pasal L7 ayat (1) huruf a, Pasa1 17 ayat (2a), atau Pasal 31E Undang-Undang Pajak Penghasilan.",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
Pasal 11,11,,,pasal,"Pada saat Peraturan Pemerintah ini mulai berlaku, Peraturan Pemerintah Nomor 46 Tahun 2Ol3 tentang Pajak Penghasilan atas Penghasilan dari Usaha yang Diterima atau Diperoleh Wajib Pajak yang Memiliki Peredaran Bruto Tertentu (Lembaran Negara Republik Indonesia Tahun 2013 Nomor 106, Nomor 5424), dicabut dan dinyatakan tidak berlaku.","Pasal 11 berbunyi: Pada saat Peraturan Pemerintah ini mulai berlaku, Peraturan Pemerintah Nomor 46 Tahun 2Ol3 tentang Pajak Penghasilan atas Penghasilan dari Usaha yang Diterima atau Diperoleh Wajib Pajak yang Memiliki Peredaran Bruto Tertentu (Lembaran Negara Republik Indonesia Tahun 2013 Nomor 106, Nomor 5424), dicabut dan dinyatakan tidak berlaku.",3,PP Nomor 23 Tahun 2018,PP Nomor 23 Tahun 2018.pdf
