identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
Pasal 3 ayat (3) poin d,3.0,3.0,d,poin,penghasilan yang dikecualikan sebagai objek pajak.,Pasal 3 ayat (3) poin d berbunyi: penghasilan yang dikecualikan sebagai objek pajak.,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4),3.0,4.0,,ayat,Jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud pada ayat (3) huruf a meliputi:,Pasal 3 ayat (4) berbunyi: Jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud pada ayat (3) huruf a meliputi:,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin a,3.0,4.0,a,poin,"tenaga ahli yang melakukan pekerjaan bebas, yang terdiri atas pengacara, akuntan, arsitek, dokter, konsultan, notaris, pejabat pembuat akta tanah, penilai, dan aktuaris; jdih.kemenkeu.go.id","Pasal 3 ayat (4) poin a berbunyi: tenaga ahli yang melakukan pekerjaan bebas, yang terdiri atas pengacara, akuntan, arsitek, dokter, konsultan, notaris, pejabat pembuat akta tanah, penilai, dan aktuaris; jdih.kemenkeu.go.id",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin b,3.0,4.0,b,poin,"pemain musik, pembawa acara, penyanyi, pelawak, bintang film, bintang sinetron, bintang iklan, sutradara, kru film, foto model, peragawan/ peragawati, pemain drama, dan penari;","Pasal 3 ayat (4) poin b berbunyi: pemain musik, pembawa acara, penyanyi, pelawak, bintang film, bintang sinetron, bintang iklan, sutradara, kru film, foto model, peragawan/ peragawati, pemain drama, dan penari;",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin c,3.0,4.0,c,poin,olahragawan;,Pasal 3 ayat (4) poin c berbunyi: olahragawan;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin d,3.0,4.0,d,poin,"penasihat, pengajar, pelatih, penceramah, penyuluh, dan moderator;","Pasal 3 ayat (4) poin d berbunyi: penasihat, pengajar, pelatih, penceramah, penyuluh, dan moderator;",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin e,3.0,4.0,e,poin,"pengarang, peneliti, dan penerjemah;","Pasal 3 ayat (4) poin e berbunyi: pengarang, peneliti, dan penerjemah;",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin f,3.0,4.0,f,poin,agen iklan;,Pasal 3 ayat (4) poin f berbunyi: agen iklan;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin g,3.0,4.0,g,poin,pengawas atau pengelola proyek;,Pasal 3 ayat (4) poin g berbunyi: pengawas atau pengelola proyek;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin h,3.0,4.0,h,poin,perantara; 1. petugas penjaja barang dagangan;,Pasal 3 ayat (4) poin h berbunyi: perantara; 1. petugas penjaja barang dagangan;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (4) poin k,3.0,4.0,k,poin,distributor perusahaan pemasaran berjenjang atau penjualan langsung dan kegiatan sejenis lainnya.,Pasal 3 ayat (4) poin k berbunyi: distributor perusahaan pemasaran berjenjang atau penjualan langsung dan kegiatan sejenis lainnya.,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1),4.0,1.0,,ayat,Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu yang dikenai Pajak Penghasilan yang bersifat final sebagaimana dimaksud dalam Pasal 3 ayat (1) meliputi:,Pasal 4 ayat (1) berbunyi: Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu yang dikenai Pajak Penghasilan yang bersifat final sebagaimana dimaksud dalam Pasal 3 ayat (1) meliputi:,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin a,4.0,1.0,a,poin,Wajib Pajak orang pribadi; dan,Pasal 4 ayat (1) poin a berbunyi: Wajib Pajak orang pribadi; dan,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin b,4.0,1.0,b,poin,"Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, firma, perseroan terbatas termasuk perseroan perorangan yang didirikan oleh 1 ( satu) orang, atau badan usaha milik desa/badan usaha milik desa bersama, yang menerima a tau memperoleh penghasilan sebagaimana dimaksud dalam Pasal 3 ayat (1) dengan peredaran bruto atas penghasilan dimaksud tidak melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah) dalam 1 (satu) Tahun Pajak.","Pasal 4 ayat (1) poin b berbunyi: Wajib Pajak badan berbentuk koperasi, persekutuan komanditer, firma, perseroan terbatas termasuk perseroan perorangan yang didirikan oleh 1 ( satu) orang, atau badan usaha milik desa/badan usaha milik desa bersama, yang menerima a tau memperoleh penghasilan sebagaimana dimaksud dalam Pasal 3 ayat (1) dengan peredaran bruto atas penghasilan dimaksud tidak melebihi Rp4.800.000.000,00 (empat miliar delapan ratus juta rupiah) dalam 1 (satu) Tahun Pajak.",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (2),4.0,2.0,,ayat,Tidak termasuk Wajib Pajak sebagaimana dimaksud pada,Pasal 4 ayat (2) berbunyi: Tidak termasuk Wajib Pajak sebagaimana dimaksud pada,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1),4.0,1.0,,ayat,dalam hal:,Pasal 4 ayat (1) berbunyi: dalam hal:,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin a,4.0,1.0,a,poin,Wajib Pajak memilih untuk dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan;,Pasal 4 ayat (1) poin a berbunyi: Wajib Pajak memilih untuk dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin b,4.0,1.0,b,poin,Wajib Pajak badan berbentuk persekutuan komanditer atau firma yang dibentuk oleh beberapa Wajib Pajak orang pribadi yang memiliki keahlian khusus yang menyerahkan jasa yang sejenis dengan jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud dalam Pasal 3 ayat (4);,Pasal 4 ayat (1) poin b berbunyi: Wajib Pajak badan berbentuk persekutuan komanditer atau firma yang dibentuk oleh beberapa Wajib Pajak orang pribadi yang memiliki keahlian khusus yang menyerahkan jasa yang sejenis dengan jasa sehubungan dengan pekerjaan bebas sebagaimana dimaksud dalam Pasal 3 ayat (4);,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin c,4.0,1.0,c,poin,Wajib Pajak badan memperoleh fasilitas Pajak Penghasilan berdasarkan: 1. Pasal 31A Undang-Undang Pajak Penghasilan; 2. Peraturan Pemerintah Nomor 94 Tahun 2010 tentang Penghitungan Penghasilan Kena Pajak dan Pelunasan Pajak Penghasilan dalam Tahun Berjalan beserta perubahan atau penggantinya; a tau 3. Pasal 75 dan Pasal 78 Peraturan Pemerintah Nomor 40 Tahun 2021 tentang Penyelenggaraan Kawasan Ekonomi Khusus beserta perubahan atau penggantinya; dan,Pasal 4 ayat (1) poin c berbunyi: Wajib Pajak badan memperoleh fasilitas Pajak Penghasilan berdasarkan: 1. Pasal 31A Undang-Undang Pajak Penghasilan; 2. Peraturan Pemerintah Nomor 94 Tahun 2010 tentang Penghitungan Penghasilan Kena Pajak dan Pelunasan Pajak Penghasilan dalam Tahun Berjalan beserta perubahan atau penggantinya; a tau 3. Pasal 75 dan Pasal 78 Peraturan Pemerintah Nomor 40 Tahun 2021 tentang Penyelenggaraan Kawasan Ekonomi Khusus beserta perubahan atau penggantinya; dan,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 4 ayat (1) poin d,4.0,1.0,d,poin,Wajib Pajak bentuk usaha tetap. /ft jdih.kemenkeu.go.id,Pasal 4 ayat (1) poin d berbunyi: Wajib Pajak bentuk usaha tetap. /ft jdih.kemenkeu.go.id,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
bab,,,,bab,BAB III: TATA CARA PEMBERITAHUAN WAJIB PAJAK,BAB III: TATA CARA PEMBERITAHUAN WAJIB PAJAK,1,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (1),5.0,1.0,,ayat,Wajib Pajak sebagaimana dimaksud dalam Pasal 4 ayat (2) huruf a wajib menyampaikan pemberitahuan secara tertulis kepada Direktur Jenderal Pajak melalui kepala Kantor Pelayanan Pajak tempat Wajib Pajak Berstatus Pu sat terdaftar.,Pasal 5 ayat (1) berbunyi: Wajib Pajak sebagaimana dimaksud dalam Pasal 4 ayat (2) huruf a wajib menyampaikan pemberitahuan secara tertulis kepada Direktur Jenderal Pajak melalui kepala Kantor Pelayanan Pajak tempat Wajib Pajak Berstatus Pu sat terdaftar.,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (2),5.0,2.0,,ayat,Penyampaian pemberitahuan sebagaimana dimaksud pada ayat ( 1) dapat dilakukan:,Pasal 5 ayat (2) berbunyi: Penyampaian pemberitahuan sebagaimana dimaksud pada ayat ( 1) dapat dilakukan:,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (2) poin a,5.0,2.0,a,poin,secara langsung;,Pasal 5 ayat (2) poin a berbunyi: secara langsung;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (2) poin b,5.0,2.0,b,poin,"melalui pos, perusahaan jasa ekspedisi, atau jasa kurir dengan bukti pengiriman surat; atau","Pasal 5 ayat (2) poin b berbunyi: melalui pos, perusahaan jasa ekspedisi, atau jasa kurir dengan bukti pengiriman surat; atau",5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (2) poin c,5.0,2.0,c,poin,secara elektronik.,Pasal 5 ayat (2) poin c berbunyi: secara elektronik.,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (3),5.0,3.0,,ayat,"Tata cara penyampaian pemberitahuan secara elektronik sebagaimana dimaksud pada ayat (2) huruf c dilakukan sesuai dengan Peraturan Menteri yang mengatur mengenai tata cara pelaksanaan hak dan pemenuhan kewajiban perpajakan serta penerbitan, penandatanganan, dan pengiriman keputusan atau ketetapan pajak secara elektronik.","Pasal 5 ayat (3) berbunyi: Tata cara penyampaian pemberitahuan secara elektronik sebagaimana dimaksud pada ayat (2) huruf c dilakukan sesuai dengan Peraturan Menteri yang mengatur mengenai tata cara pelaksanaan hak dan pemenuhan kewajiban perpajakan serta penerbitan, penandatanganan, dan pengiriman keputusan atau ketetapan pajak secara elektronik.",4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (4),5.0,4.0,,ayat,Penyampaian pemberitahuan sebagaimana dimaksud pada ayat (1) dilakukan paling lambat pada akhir Tahun Pajak.,Pasal 5 ayat (4) berbunyi: Penyampaian pemberitahuan sebagaimana dimaksud pada ayat (1) dilakukan paling lambat pada akhir Tahun Pajak.,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 5 ayat (5),5.0,5.0,,ayat,Wajib Pajak yang menyampaikan pemberitahuan sebagaimana dimaksud pada ayat (4) dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak berikutnya.,Pasal 5 ayat (5) berbunyi: Wajib Pajak yang menyampaikan pemberitahuan sebagaimana dimaksud pada ayat (4) dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan mulai Tahun Pajak berikutnya.,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
